country;indicator;time_period;obs_value;unit_of_measure
Kuwait;Refugees by host country, per 1000 population;2022;0;Per 1000
Kyrgyzstan;Refugees by host country, per 1000 population;2022;0;Per 1000
Latvia;Refugees by host country, per 1000 population;2022;21;Per 1000
Lebanon;Refugees by host country, per 1000 population;2022;149;Per 1000
Lesotho;Refugees by host country, per 1000 population;2022;0;Per 1000
Liberia;Refugees by host country, per 1000 population;2022;0;Per 1000
Libyan Arab Jamahiriya;Refugees by host country, per 1000 population;2022;0;Per 1000
Liechtenstein;Refugees by host country, per 1000 population;2022;13;Per 1000
Lithuania;Refugees by host country, per 1000 population;2022;25;Per 1000
Luxembourg;Refugees by host country, per 1000 population;2022;18;Per 1000
Madagascar;Refugees by host country, per 1000 population;2022;0;Per 1000
Malawi;Refugees by host country, per 1000 population;2022;2;Per 1000
Malaysia;Refugees by host country, per 1000 population;2022;4;Per 1000
Mali;Refugees by host country, per 1000 population;2022;3;Per 1000
Malta;Refugees by host country, per 1000 population;2022;21;Per 1000
Mauritania;Refugees by host country, per 1000 population;2022;21;Per 1000
Mexico;Refugees by host country, per 1000 population;2022;1;Per 1000
Monaco;Refugees by host country, per 1000 population;2022;0;Per 1000
Mongolia;Refugees by host country, per 1000 population;2022;0;Per 1000
Montenegro;Refugees by host country, per 1000 population;2022;52;Per 1000
Morocco;Refugees by host country, per 1000 population;2022;0;Per 1000
Mozambique;Refugees by host country, per 1000 population;2022;0;Per 1000
Burma;Refugees by host country, per 1000 population;2022;0;Per 1000
Namibia;Refugees by host country, per 1000 population;2022;2;Per 1000
Nauru;Refugees by host country, per 1000 population;2022;4;Per 1000
Nepal;Refugees by host country, per 1000 population;2022;1;Per 1000
Netherlands;Refugees by host country, per 1000 population;2022;12;Per 1000
New Zealand;Refugees by host country, per 1000 population;2022;0;Per 1000
Nicaragua;Refugees by host country, per 1000 population;2022;0;Per 1000
Niger;Refugees by host country, per 1000 population;2022;10;Per 1000
Nigeria;Refugees by host country, per 1000 population;2022;0;Per 1000
Norway;Refugees by host country, per 1000 population;2022;14;Per 1000
Oman;Refugees by host country, per 1000 population;2022;0;Per 1000
Pakistan;Refugees by host country, per 1000 population;2022;7;Per 1000
Panama;Refugees by host country, per 1000 population;2022;34;Per 1000
Papua New Guinea;Refugees by host country, per 1000 population;2022;1;Per 1000
Paraguay;Refugees by host country, per 1000 population;2022;1;Per 1000
Peru;Refugees by host country, per 1000 population;2022;29;Per 1000
Philippines;Refugees by host country, per 1000 population;2022;0;Per 1000
Poland;Refugees by host country, per 1000 population;2022;24;Per 1000
Portugal;Refugees by host country, per 1000 population;2022;6;Per 1000
Qatar;Refugees by host country, per 1000 population;2022;0;Per 1000
South Korea;Refugees by host country, per 1000 population;2022;0;Per 1000
Romania;Refugees by host country, per 1000 population;2022;5;Per 1000
Russia;Refugees by host country, per 1000 population;2022;9;Per 1000
Rwanda;Refugees by host country, per 1000 population;2022;9;Per 1000
Saint Kitts and Nevis;Refugees by host country, per 1000 population;2022;0;Per 1000
Saint Vincent and the Grenadines;Refugees by host country, per 1000 population;2022;0;Per 1000
Saudi Arabia;Refugees by host country, per 1000 population;2022;0;Per 1000
Senegal;Refugees by host country, per 1000 population;2022;1;Per 1000
Serbia;Refugees by host country, per 1000 population;2022;4;Per 1000
Sierra Leone;Refugees by host country, per 1000 population;2022;0;Per 1000
Singapore;Refugees by host country, per 1000 population;2022;0;Per 1000
Slovakia;Refugees by host country, per 1000 population;2022;17;Per 1000
Slovenia;Refugees by host country, per 1000 population;2022;4;Per 1000
Solomon Islands;Refugees by host country, per 1000 population;2022;0;Per 1000
Somalia;Refugees by host country, per 1000 population;2022;1;Per 1000
South Africa;Refugees by host country, per 1000 population;2022;1;Per 1000
South Sudan;Refugees by host country, per 1000 population;2022;28;Per 1000
Spain;Refugees by host country, per 1000 population;2022;7;Per 1000
Sri Lanka;Refugees by host country, per 1000 population;2022;0;Per 1000
Sudan;Refugees by host country, per 1000 population;2022;23;Per 1000
Suriname;Refugees by host country, per 1000 population;2022;0;Per 1000
Sweden;Refugees by host country, per 1000 population;2022;26;Per 1000
Switzerland;Refugees by host country, per 1000 population;2022;21;Per 1000
Syrian Arab Republic;Refugees by host country, per 1000 population;2022;1;Per 1000
Tajikistan;Refugees by host country, per 1000 population;2022;1;Per 1000
Thailand;Refugees by host country, per 1000 population;2022;1;Per 1000
Togo;Refugees by host country, per 1000 population;2022;1;Per 1000
Trinidad and Tobago;Refugees by host country, per 1000 population;2022;11;Per 1000
Tunisia;Refugees by host country, per 1000 population;2022;0;Per 1000
Turkmenistan;Refugees by host country, per 1000 population;2022;0;Per 1000
Turks and Caicos Islands;Refugees by host country, per 1000 population;2022;0;Per 1000
Turkey;Refugees by host country, per 1000 population;2022;42;Per 1000
Uganda;Refugees by host country, per 1000 population;2022;31;Per 1000
Ukraine;Refugees by host country, per 1000 population;2022;0;Per 1000
United Arab Emirates;Refugees by host country, per 1000 population;2022;0;Per 1000
United Kingdom;Refugees by host country, per 1000 population;2022;5;Per 1000
United States;Refugees by host country, per 1000 population;2022;1;Per 1000
Uruguay;Refugees by host country, per 1000 population;2022;7;Per 1000
Uzbekistan;Refugees by host country, per 1000 population;2022;0;Per 1000
Viet Nam;Refugees by host country, per 1000 population;2022;0;Per 1000
Yemen;Refugees by host country, per 1000 population;2022;2;Per 1000
Zambia;Refugees by host country, per 1000 population;2022;3;Per 1000
Zimbabwe;Refugees by host country, per 1000 population;2022;1;Per 1000
